Designation,Name,Location,Level_and_involvement,Total_applicants,Industry_and_Employee_count,LinkedIn_Followers
Technology Analyst,Infosys,"Jaipur, Rajasthan, India",Full-time · Mid-Senior level,,"10,001+ employees · IT Services and IT Consulting","6,456,853 followers"
Pegasystems Platform Application Lead,Accenture in India,"Jaipur, Rajasthan, India",Full-time · Mid-Senior level,5 applicants,"10,001+ employees · IT Services and IT Consulting",
Associate Professional - Finance Transformation Process - Accountant,Sutherland,"Mumbai, Maharashtra, India",Full-time · Entry level,32 applicants,"10,001+ employees · IT Services and IT Consulting",
EMS - Data CoE - Advanced Analyst,EY,"Bengaluru, Karnataka, India",Full-time · Entry level,158 applicants,"10,001+ employees · Accounting",
QA - Automation- WFH,Uplers,"Noida, Uttar Pradesh, India",Full-time · Associate,,"1,001-5,000 employees · IT Services and IT Consulting","668,134 followers"
Project Lead,Wipro,"Bengaluru, Karnataka, India",Full-time · Mid-Senior level,58 applicants,"10,001+ employees · IT Services and IT Consulting",
Technology Analyst - .Net,Infosys,"Trivandrum, Kerala, India",Full-time · Associate,38 applicants,"10,001+ employees · IT Services and IT Consulting","6,456,859 followers"
Full Stack Developer,Sutherland,"Bengaluru, Karnataka, India",Full-time · Entry level,9 applicants,"10,001+ employees · IT Services and IT Consulting",
Cyber Security Analyst,Wipro,"Kochi, Kerala, India",Full-time · Entry level,113 applicants,"10,001+ employees · IT Services and IT Consulting",
Technology Analyst,Infosys,"Indore, Madhya Pradesh, India",Full-time · Associate,107 applicants,"10,001+ employees · IT Services and IT Consulting","6,456,862 followers"
Lead - App & Software Testing,Sutherland,"Bengaluru, Karnataka, India",Full-time · Mid-Senior level,9 applicants,"10,001+ employees · IT Services and IT Consulting",
Cross Functional Lead,Wipro,"Hyderabad, Telangana, India",Full-time · Mid-Senior level,7 applicants,"10,001+ employees · IT Services and IT Consulting",
Transaction Processing New Associate-Insurance,Accenture in India,"Mumbai, Maharashtra, India",Full-time · Entry level,22 applicants,"10,001+ employees · IT Services and IT Consulting",
Facilities Engineer,JLL,"Thiruporur, Tamil Nadu, India",Full-time · Entry level,40 applicants,"10,001+ employees · Real Estate",
Store Manager,Vodafone Idea Limited,"Jaipur, Rajasthan, India",Full-time · Mid-Senior level,154 applicants,"10,001+ employees · Telecommunications",
Cyber Security Analyst,Wipro,"Hyderabad, Telangana, India",Full-time · Entry level,,"10,001+ employees · IT Services and IT Consulting",
Technical Lead,Wipro,"Bengaluru, Karnataka, India",Full-time · Mid-Senior level,6 applicants,"10,001+ employees · IT Services and IT Consulting",
Lead Administrator,Wipro,"Pune, Maharashtra, India",Full-time · Mid-Senior level,20 applicants,"10,001+ employees · IT Services and IT Consulting",
Data Specialist,Uplers,"Vadodara, Gujarat, India",Full-time · Mid-Senior level,51 applicants,"1,001-5,000 employees · IT Services and IT Consulting","668,138 followers"
TCS Hiring For JAVA FSD,Tata Consultancy Services,"Bengaluru, Karnataka, India",Full-time · Mid-Senior level,7 applicants,"10,001+ employees · IT Services and IT Consulting","11,322,248 followers"
PHP Laravel Developer (WFH),Uplers,"Hyderabad, Telangana, India",Full-time · Mid-Senior level,18 applicants,"1,001-5,000 employees · IT Services and IT Consulting","668,138 followers"
Lead Administrator,Wipro,"Pune, Maharashtra, India",Full-time · Mid-Senior level,8 applicants,"10,001+ employees · IT Services and IT Consulting",
Lead - Healthcare - Coding Quality Auditor (REF52J),Sutherland,"Chennai, Tamil Nadu, India",Full-time · Mid-Senior level,,"10,001+ employees · IT Services and IT Consulting",
MODULE LEAD BIG DATA,LTIMindtree,"Bengaluru, Karnataka, India",Full-time · Mid-Senior level,4 applicants,"10,001+ employees · IT Services and IT Consulting",
Technology Analyst,Infosys,"Chandigarh, India",Full-time · Associate,53 applicants,"10,001+ employees · IT Services and IT Consulting","6,456,876 followers"
Quality Analyst,Uplers,"Kerala, India",Full-time · Associate,,"1,001-5,000 employees · IT Services and IT Consulting","668,143 followers"
DevOps Engineer - WFH,Uplers,"Chennai, Tamil Nadu, India",Full-time · Mid-Senior level,146 applicants,"1,001-5,000 employees · IT Services and IT Consulting","668,144 followers"
SDET,Tata Consultancy Services,Greater Hyderabad Area,Full-time · Mid-Senior level,29 applicants,"10,001+ employees · IT Services and IT Consulting","11,322,271 followers"
Technology Analyst - Devops (3-5 years) - COIMBATORE,Infosys,"Coimbatore, Tamil Nadu, India",Full-time · Mid-Senior level,57 applicants,"10,001+ employees · IT Services and IT Consulting","6,456,884 followers"
Cyber Security Analyst,Wipro,"Kochi, Kerala, India",Full-time · Entry level,75 applicants,"10,001+ employees · IT Services and IT Consulting",
Quality Analyst Automation,Uplers,"Chennai, Tamil Nadu, India",Full-time · Associate,117 applicants,"1,001-5,000 employees · IT Services and IT Consulting","668,146 followers"
MT-R2R-HMS026076,Genpact,"Bengaluru, Karnataka, India",Full-time · Associate,20 applicants,"10,001+ employees · IT Services and IT Consulting",
